[0714/123155.709:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x150c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/123156.224:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x150c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/123156.717:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x150c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/123157.210:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x150c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/133932.579:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2a9c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/133933.090:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2a9c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/133933.587:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2a9c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/133934.093:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2a9c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/134740.043:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3154001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/134740.557:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3154001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/134741.053:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3154001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/134741.556:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3154001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/143050.096:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x164001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/143050.611:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x164001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/143051.105:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x164001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/143051.605:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x164001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/145740.435:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2914001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/145740.943:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2914001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/145741.452:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2914001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/145741.946:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2914001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/152403.763:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6734001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152404.273:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6734001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152404.775:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6734001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152405.275:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6734001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/152700.038:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x51f4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152700.544:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x51f4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152701.045:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x51f4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/152701.544:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x51f4001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0714/153410.823:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x306c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/153411.328:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x306c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/153411.829:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x306c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0714/153412.330:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x306c001b4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0716/142112.990:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a44001c0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
